Date,Name / Description,Expense/Income,Amount (CAD),Transaction vs category,Transaction,Category
2023-12-30,Belastingdienst,Expense,9.96,3. Belastingdienst - Taxes,Belastingdienst,Taxes
2023-12-30,Tesco Breda,Expense,17.53,4. Tesco Breda - Groceries,Tesco Breda,Groceries
2023-12-30,Monthly Appartment Rent,Expense,451.0,5. Monthly Appartment Rent - Housing,Monthly Appartment Rent,Housing
2023-12-30,Vishandel Sier Amsterdam,Expense,12.46,6. Vishandel Sier Amsterdam - Shopping,Vishandel Sier Amsterdam,Shopping
2023-12-29,Selling Paintings,Income,13.63,7. Selling Paintings - Sales,Selling Paintings,Sales
2023-12-29,Spotify Ab By Adyen,Expense,12.19,1. Spotify AB by Adyen - Entertainment,Spotify Ab By Adyen,Entertainment
2023-12-23,Tk Maxx Amsterdam Da,Expense,27.08,,,
2023-12-22,Consulting,Income,541.57,8. Consulting - Work,Consulting,Work
2023-12-22,Aidsfonds,Expense,10.7,9. Aidsfonds - Charity,Aidsfonds,Charity
2023-12-20,Consulting,Income,2641.93,8. Consulting - Work,Consulting,Work
2023-12-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9,,,
2023-12-18,Etos Amsterdam,Expense,17.67,11. Etos Amsterdam - Health,Etos Amsterdam,Health and Wellness
2023-12-18,Tesco Breda,Expense,8.809999999999999,4. Tesco Breda - Groceries,Tesco Breda,Groceries
2023-12-18,Beta Boulders Ams Amsterdam,Expense,6.94,,,
2022-11-26,Salary,Income,14.36,,,
2022-11-26,Bouldermuur Bv Amsterdam,Expense,19.27,,,
2022-11-26,Birtat Restaurant Amsterdam,Expense,24.71,12. Birtat Restaurant Amsterdam - Dining,Birtat Restaurant Amsterdam,Dining
2022-11-25,Tesco Breda,Expense,17.35,4. Tesco Breda - Groceries,Tesco Breda,Groceries
2022-11-24,Freelancing,Income,2409.55,18. Freelancing - Work,Freelancing,Work
2022-11-19,Tikkie,Expense,20.76,20. Tikkie - Finances,Tikkie,Finances
2022-10-25,Blogging,Income,4044.27,19. Blogging - Work,Blogging,Work
2022-10-24,Taxi Utrecht,Expense,18.9,13. Taxi Utrecht - Transportation,Taxi Utrecht,Transportation
2022-10-23,Tesco Breda,Expense,27.54,4. Tesco Breda - Groceries,Tesco Breda,Groceries
2022-10-22,Apple Services,Expense,41.25,14. Apple Services - Technology,Apple Services,Technology
2022-10-21,Tesco Breda,Expense,22.8,4. Tesco Breda - Groceries,Tesco Breda,Groceries
2022-01-16,Amazon Lux,Expense,24.11,15. Amazon Lux - Shopping,Amazon Lux,Shopping
2022-01-15,Classpass* Monthly,Expense,30.08,16. Classpass* Monthly - Fitness,Classpass* Monthly,Fitness
2022-01-14,Audible Uk AdblCo/Pymt Gbr,Expense,11.0,,,
